y_test,y_pred
0.286085867,0.34758925
0.118030105,0.113934025
0.389620781,0.34758925
0.63281523,0.34758925
0.2143282,0.34758925
0.28217564,0.34758925
0.253807915,0.20236266
0.167760394,0.115071185
0.88665013,0.34758925
0.387577939,0.34758925
0.080425379,0.34758925
0.093452638,0.11522658
0.310150653,0.34758925
0.256757667,0.34758925
0.119612769,0.115962915
0.35917146,0.34758925
0.077237928,0.11424727
0.011355368,0.113962054
0.037442098,0.113098554
0.588372087,0.34758925
0.010182001,0.11315099
0.087206988,0.11506483
0.360108856,0.34758925
0.37286007,0.34758925
0.430537278,0.34758925
0.100244697,0.17868921
0.586423289,0.34758925
0.217368544,0.34758925
0.271906139,0.34758925
0.590080551,0.34758925
0.301947936,0.34758925
0.37343174,0.34758925
0.630822453,0.34758925
0.12495734,0.11519535
0.074098315,0.11487262
0.446068012,0.34758925
0.235667894,0.34758925
0.171762892,0.34758925
0.1078936,0.113492444
0.398978148,0.34758925
0.352616693,0.34758925
0.217462996,0.34758925
0.413011586,0.34758925
0.145597384,0.11414796
0.204495389,0.34758925
0.111572425,0.11495472
0.2285654,0.34758925
0.356135933,0.34758925
0.574905094,0.34758925
0.159432285,0.11440261
0.358416066,0.34758925
0.242891418,0.34758925
0.129725274,0.34758925
0.301935306,0.34758925
0.373452638,0.34758925
0.426357549,0.34758925
0.120736071,0.114067085
0.002470402,0.11474238
0.033716915,0.11449541
0.160062498,0.11377695
0.124111202,0.11439006
0.611247832,0.34758925
0.616553905,0.34758925
0.284518469,0.34758925
0.407813048,0.34758925
0.239636455,0.34758925
0.005772387,0.11411212
0.565388806,0.34758925
0.129769917,0.11494379
0.183518378,0.34758925
0.218523602,0.3113134
0.351632275,0.34758925
0.300744083,0.34758925
0.098823589,0.17688444
0.217583163,0.34758925
0.567559221,0.34758925
0.033345964,0.11299218
0.109349099,0.11401004
0.495636546,0.34758925
0.395134979,0.34758925
0.129876789,0.34758925
0.404855891,0.34758925
0.037465177,0.113030925
0.049607288,0.114536755
0.063392986,0.11372523
0.085083396,0.11434913
0.353492254,0.34758925
0.193982964,0.34758925
0.301047113,0.34758925
0.113466131,0.11614636
0.383048158,0.34758925
0.060670938,0.11425154
0.500119305,0.34758925
0.269443143,0.34758925
0.169390896,0.34758925
0.314643861,0.34758925
0.504124438,0.34758925
0.159815459,0.11432417
0.352668939,0.34758925
0.122948482,0.11347976
0.702060697,0.34758925
0.480568626,0.34758925
0.140712735,0.34758925
0.123993414,0.11458537
0.189727712,0.11469196
0.173612422,0.34758925
0.302233111,0.34758925
0.130508973,0.34758925
0.179658719,0.34758925
0.062407706,0.11375525
0.167849621,0.34758925
0.207778657,0.34758925
0.089743129,0.11462277
0.134706557,0.1769084
0.029053474,0.11316481
0.207306256,0.34758925
0.740370089,0.34758925
0.144085078,0.11574355
0.45343174,0.34758925
0.039850666,0.11486888
0.186428513,0.34758925
0.177256191,0.34758925
0.216984509,0.19587201
0.2747096,0.34758925
0.322604062,0.34758925
0.436773341,0.34758925
0.21687261,0.34758925
0.183912664,0.115141794
0.432687657,0.34758925
0.13605193,0.113305524
0.183911592,0.114381105
0.086793832,0.114760004
0.301895689,0.34758925
0.238761557,0.34758925
0.224999138,0.17623916
0.132985462,0.34758925
0.135148472,0.34758925
0.027473446,0.11582289
0.12112244,0.1133615
0.517757758,0.34758925
0.357924948,0.17731334
0.111287448,0.11499873
0.035425379,0.11512906
0.247760802,0.34758925
0.431731544,0.34758925
0.159458817,0.34758925
0.285373132,0.34758925
0.204340831,0.34758925
0.350558176,0.34758925
0.128782048,0.11350542
0.597384626,0.34758925
0.235970109,0.34758925
0.444699151,0.34758925
0.319568534,0.34758925
0.462679389,0.34758925
0.068048158,0.11372387
0.179930401,0.11485098
0.383450457,0.34758925
0.181203853,0.34758925
0.016162056,0.11453201
0.410108856,0.34758925
0.087569671,0.17864835
0.298366862,0.34758925
0.54003571,0.34758925
0.170425379,0.34758925
0.571538231,0.34758925
0.633199673,0.34758925
0.014490164,0.11089556
0.501998001,0.34758925
0.051968835,0.11454469
0.486371042,0.34758925
0.104069148,0.11392447
0.128006361,0.34758925
0.165882361,0.11472465
0.020827678,0.113542676
0.211041889,0.34758925
0.404046068,0.34758925
0.431000091,0.34758925
0.804340831,0.34758925
0.239793195,0.34758925
0.181726319,0.34758925
0.109396121,0.11446273
0.540620872,0.34758925
0.548450457,0.34758925
0.479178866,0.34758925
0.263032076,0.34758925
0.191007497,0.34758925
0.266512108,0.34758925
0.212491301,0.34758925
0.066388897,0.18217942
0.066315752,0.19624408
0.118426515,0.18694142
0.420916497,0.34758925
0.045576894,0.11429124
0.143889329,0.34758925
0.295458908,0.34758925
0.20435128,0.34758925
0.263032484,0.34758925
0.279678252,0.34758925
0.00978797,0.11483442
0.009492346,0.1137469
0.441977103,0.34758925
0.013703422,0.11466151
0.652595794,0.34758925
0.431600927,0.34758925
0.190399255,0.34758925
0.389714825,0.34758925
0.40357803,0.34758925
0.485383581,0.34758925
0.193075647,0.113061406
0.088335515,0.11435273
0.169564675,0.34758925
0.729845441,0.34758925
0.022353278,0.11476086
0.188873655,0.34758925
0.404453592,0.34758925
0.155686612,0.34758925
0.141843443,0.34758925
0.10250175,0.17867725
0.143066013,0.17752025
0.213160721,0.34758925
0.074186726,0.11399852
0.345091,0.34758925
0.096762892,0.11525426
0.114686322,0.11484067
0.122104676,0.34144264
0.06394442,0.1144222
0.156088911,0.34758925
0.404939485,0.34758925
0.286627051,0.34758925
0.574267685,0.34758925
0.494427469,0.34758925
0.279981283,0.34758925
0.027875744,0.112881675
0.442734679,0.34758925
0.043455682,0.114332736
0.24050593,0.34758925
0.243901959,0.34758925
0.189074373,0.18765382
0.196689338,0.34758925
0.207705512,0.34758925
0.170783501,0.11488396
0.205205943,0.34758925
0.36963123,0.34758925
0.003630277,0.1784735
0.082598837,0.11379787
0.539792829,0.34758925
0.246496434,0.34758925
0.281968835,0.17700554
0.104434874,0.1795105
0.332922766,0.34758925
0.240234247,0.34758925
0.284905094,0.34758925
0.243959686,0.34758925
0.429847623,0.34758925
0.151447033,0.11448345
0.474685658,0.34758925
0.253013767,0.34758925
0.287964564,0.34758925
0.508544501,0.34758925
0.110496145,0.1148609
0.368071238,0.34758925
0.345373132,0.34758925
0.031028396,0.114755146
0.424035619,0.34758925
0.316344919,0.34758925
0.201561311,0.11414757
0.545670938,0.34758925
0.022530917,0.112982765
0.155343965,0.34758925
0.383586298,0.34758925
0.390665713,0.34758925
0.136039101,0.11390885
0.129189315,0.34758925
0.097546183,0.115272865
0.12049548,0.17888537
0.470767163,0.34758925
0.058854937,0.11453644
0.175500705,0.34758925
0.458447414,0.34758925
0.596085867,0.34758925
0.339578984,0.34758925
0.168938532,0.34758925
0.258171171,0.34758925
0.316386716,0.34758925
0.118599593,0.11464691
0.214204989,0.34758925
0.169053474,0.1432874
0.334168673,0.34758925
0.060193114,0.11530592
0.271956204,0.34758925
0.068102586,0.17764568
0.080929791,0.11399209
0.084756214,0.11405383
0.258520559,0.34758925
0.447494344,0.34758925
0.256242607,0.18395928
0.193702606,0.11376019
0.480472401,0.34758925
0.095982038,0.1145169
0.132572714,0.34758925
0.636297897,0.34758925
0.042003226,0.11365861
0.260024445,0.1774999
0.323215347,0.34758925
0.81834292,0.34758925
0.127161331,0.17665733
0.188084731,0.34758925
0.459960384,0.34758925
0.476326201,0.34758925
0.08941464,0.114399165
0.241898733,0.34758925
0.202988308,0.34758925
0.169929036,0.34758925
0.106880015,0.11383927
0.336543456,0.34758925
0.432386808,0.34758925
0.16058171,0.113803245
0.523053383,0.34758925
0.115844717,0.11430531
0.418460906,0.18391317
0.498917633,0.34758925
0.745960475,0.34758925
0.07750961,0.114118904
0.636360593,0.34758925
0.144119214,0.34758925
0.225386427,0.34758925
0.03450802,0.11439916
0.62004616,0.34758925
0.100906047,0.113790475
0.088510774,0.11446042
0.233525784,0.34758925
0.185740223,0.11452204
0.396135933,0.34758925
0.123492254,0.1154141
0.30819663,0.34758925
0.153984738,0.114837885
0.32772641,0.34758925
0.705824634,0.34758925
0.097123393,0.11491673
0.38158221,0.34758925
0.360252965,0.34758925
0.100613466,0.11300556
0.297235292,0.34758925
0.157128618,0.34758925
0.136826953,0.11287057
0.103753487,0.1136329
0.528293717,0.34758925
0.079346055,0.11431847
0.030033529,0.113772616
0.224831949,0.34758925
0.373471356,0.34758925
0.06218371,0.113604054
0.076785972,0.34758925
0.082407706,0.17984265
0.657180865,0.34758925
0.328309391,0.34758925
0.50494471,0.34758925
0.118008542,0.17833215
0.601561311,0.34758925
0.07012194,0.11353301
0.317099451,0.34758925
0.457750353,0.34758925
0.105508973,0.115502924
0.276935306,0.34758925
0.143810959,0.34758925
0.184288584,0.17749035
0.069495389,0.11457651
